feature,Importance
R1,0.0012784908727605515
C1,0.0003725403867646859
C13,0.00024045788600266516
V258,0.00022691096284759292
C14,0.00018457682798798115
V201,0.00015917634707218742
C8,0.00013716259694518396
V199,0.00013377586615643812
V274,0.00011345548142380757
C7,0.00010837538524064439
V257,9.990855826875755e-05
C10,9.313509669119923e-05
V187,8.974836590243118e-05
V45,8.636163511366313e-05
C4,8.128153893052214e-05
V188,7.789480814173189e-05
V246,7.28147119585909e-05
V200,7.112134656419577e-05
N5,6.942798116982285e-05
V190,6.6041250381077e-05
C11,6.434788498668186e-05
V244,6.096115419791381e-05
C12,5.757442340914576e-05
V44,5.249432722596037e-05
V219,4.7414231042841594e-05
V87,4.741423104281939e-05
V156,4.23341348596562e-05
V242,4.23341348596562e-05
V228,4.064076946526107e-05
N3,3.7254038676515223e-05
P_emaildomain_0_fe2,3.7254038676515223e-05
id_35_fe1,3.725403867649302e-05
V308,3.725403867649302e-05
C2,3.3867307887724965e-05
R19,3.3867307887724965e-05
V263,3.386730788770276e-05
V155,3.386730788768055e-05
id_31_fe2,3.217394249332983e-05
V265,3.2173942493307627e-05
V189,3.2173942493307627e-05
V283,3.048057709897911e-05
V306,3.0480577098956906e-05
id_17_fe1,3.0480577098934703e-05
V232,2.8787211704561776e-05
R21,2.8787211704561776e-05
V51,2.8787211704561776e-05
V233,2.8787211704561776e-05
D9,2.7093846310188853e-05
V280,2.7093846310188853e-05
V171,2.7093846310188853e-05
R12,2.7093846310166647e-05
N6,2.709384631014444e-05
V149,2.5400480915815926e-05
V277,2.5400480915815926e-05
V148,2.5400480915815926e-05
V154,2.5400480915815926e-05
V213,2.540048091579372e-05
addr2,2.540048091579372e-05
V181,2.3707115521420797e-05
V276,2.3707115521420797e-05
V278,2.3707115521420797e-05
R23,2.3707115521420797e-05
V23,2.370711552139859e-05
V218,2.370711552139859e-05
V275,2.370711552139859e-05
R_emaildomain_0_fe2,2.2013750127025668e-05
P_emaildomain_0,2.2013750127025668e-05
D1,2.2013750127025668e-05
V57,2.0320384732630535e-05
V332,2.0320384732630535e-05
R5,1.8627019338257612e-05
id_17,1.8627019338257612e-05
id_31_fe1,1.8627019338257612e-05
V198,1.8627019338235406e-05
V186,1.8627019338235406e-05
V39,1.8627019338235406e-05
addr2_fe1,1.8627019338235406e-05
V204,1.6933653943862482e-05
id_16,1.6933653943862482e-05
N4,1.6933653943862482e-05
V282,1.6933653943862482e-05
id_15_fe2,1.6933653943862482e-05
V307,1.6933653943862482e-05
id_20_fe2,1.6933653943840277e-05
V147,1.6933653943840277e-05
id_30_fe2,1.6933653943840277e-05
id_03,1.6933653943840277e-05
V17,1.6933653943840277e-05
V196,1.6933653943840277e-05
V197,1.6933653943840277e-05
id_01,1.6933653943840277e-05
V178,1.6933653943840277e-05
V182,1.6933653943840277e-05
Transaction_day_of_week,1.5240288549489556e-05
P_emaildomain_fe1,1.5240288549489556e-05
V229,1.5240288549489556e-05
V245,1.5240288549467352e-05
V316,1.5240288549467352e-05
V211,1.5240288549467352e-05
id_09,1.5240288549467352e-05
R7,1.5240288549467352e-05
V235,1.5240288549467352e-05
id_35,1.5240288549467352e-05
id_37_fe2,1.5240288549467352e-05
addr1_fe1,1.354692315511663e-05
V295,1.354692315511663e-05
V243,1.3546923155094426e-05
