feature,Importance
PCA_27,0.0003336094754047281
C1_div_C14,0.00023061594608517755
C1_div_C13,0.0002216599870138447
V258,7.836464187360725e-05
C1_div_C7,6.716969303453003e-05
C13_div_C8,4.9257774891997566e-05
V45,4.701878512418656e-05
V156,4.477979535633114e-05
C14_div_C2,4.254080558854234e-05
V242,4.2540805588520136e-05
V189,4.2540805588520136e-05
V244,3.8062826052898124e-05
C14_div_C8,3.5823836285109324e-05
C1_div_C4,3.5823836285109324e-05
C13_div_C6,3.582383628508712e-05
V143,3.358484651727611e-05
V197,3.358484651727611e-05
V249,3.358484651727611e-05
V149,3.358484651727611e-05
PCA_13,3.358484651727611e-05
V44,3.358484651727611e-05
V154,3.358484651727611e-05
V187,3.1345856749465106e-05
V252,3.1345856749465106e-05
V264,3.1345856749465106e-05
V322,3.1345856749465106e-05
C13_group_2,3.1345856749465106e-05
C13_div_C7,2.91068669816541e-05
V331,2.91068669816541e-05
C14_group_2,2.91068669816541e-05
V229,2.6867877213843094e-05
V86,2.6867877213843094e-05
V155,2.462888744603209e-05
V190,2.462888744603209e-05
R_emaildomain_0,2.462888744603209e-05
V102,2.2389897678221082e-05
V280,2.2389897678221082e-05
V132,2.2389897678221082e-05
V195,2.2389897678221082e-05
V198,2.2389897678221082e-05
V196,2.2389897678221082e-05
C13_div_C2,2.2389897678221082e-05
V253,2.2389897678221082e-05
V194,2.2389897678221082e-05
V188,2.2389897678221082e-05
V273,2.2389897678221082e-05
PCA_23,2.2389897678198877e-05
V256,2.0150907910410076e-05
V254,2.0150907910410076e-05
C14_div_C4,2.0150907910410076e-05
V274,2.0150907910410076e-05
V323,1.791191814259907e-05
V308,1.5672928374788064e-05
V307,1.567292837476586e-05
C4_shift_1,1.567292837476586e-05
V221,1.3433938606977058e-05
C12_group_1,1.3433938606977058e-05
C7_shift_1,1.3433938606977058e-05
id_19_fe1,1.3433938606977058e-05
C14_div_C6,1.343393860693265e-05
V152,1.1194948839166052e-05
V217,1.1194948839166052e-05
V202,1.1194948839166052e-05
V146,1.1194948839166052e-05
V248,1.1194948839166052e-05
V167,1.1194948839166052e-05
V247,1.1194948839166052e-05
D14_group_2,1.1194948839166052e-05
V153,1.1194948839166052e-05
D8_group_1,1.1194948839166052e-05
V251,1.1194948839166052e-05
device_version_fe1,1.1194948839166052e-05
addr1,1.1194948839166052e-05
id_20,1.1194948839166052e-05
C12_shift_1,1.1194948839166052e-05
id_14_fe1,1.1194948839166052e-05
V255,1.1194948839166052e-05
id_17_fe1,1.1194948839166052e-05
C7_group_4,1.1194948839166052e-05
V316,1.1194948839166052e-05
C10_div_C7,1.1194948839166052e-05
V261,1.1194948839166052e-05
V26,1.1194948839166052e-05
V278,1.1194948839166052e-05
D9_group_5,1.1194948839166052e-05
D14,1.1194948839166052e-05
V133,1.1194948839143848e-05
V203,1.1194948839143848e-05
V177,1.1194948839143848e-05
card3,1.1194948839143848e-05
R_emaildomain_0_fe1,1.1194948839121644e-05
V33,8.955959071332842e-06
PCA_16,8.955959071332842e-06
V283,8.955959071332842e-06
C11_shift_1,8.955959071332842e-06
card6,8.955959071332842e-06
id_35,8.955959071332842e-06
D3_group_2,8.955959071332842e-06
V317,8.955959071332842e-06
device_name,8.955959071332842e-06
D3_shift_1,8.955959071332842e-06
V275,8.955959071332842e-06
C2_div_C7,8.955959071332842e-06
V304,8.955959071332842e-06
R_emaildomain_1_fe1,8.955959071332842e-06
TransactionAmt_std_mean2,8.955959071332842e-06
id_33,8.955959071332842e-06
V79,8.955959071310638e-06
PCA_20,6.716969303521836e-06
C1_group_3,6.716969303499631e-06
C11_group_3,6.716969303499631e-06
P_emaildomain_0_fe1,6.716969303499631e-06
TransactionAmt_to_mean2,6.716969303499631e-06
V214,6.716969303499631e-06
PCA_22,6.716969303477427e-06
TransactionAmt_count,6.716969303455222e-06
C13_group_1,4.477979535688625e-06
V310,4.477979535688625e-06
C13_group_3,4.477979535666421e-06
PCA_11,4.477979535666421e-06
dist2_nunique2,4.477979535666421e-06
TransactionAmt_count2,4.477979535666421e-06
V218,4.477979535666421e-06
D2_group_6,4.477979535666421e-06
dayofweek_mode2,4.477979535666421e-06
C11_group_1,4.477979535666421e-06
V134,4.477979535666421e-06
n_unique_TransactionAmt,4.477979535644216e-06
C9_shift_1,4.477979535644216e-06
C10_div_C13,2.2389897678776192e-06
V74,2.2389897678776192e-06
C12_group_5,2.2389897678776192e-06
D4_group_4,2.238989767855415e-06
D4_group_1,2.238989767855415e-06
card2,2.238989767855415e-06
day,2.238989767855415e-06
C2_group_2,2.238989767855415e-06
V225,2.2389897678332105e-06
V97,2.2389897678332105e-06
id_30,2.2389897678332105e-06
TransactionAmt_to_std2,2.2389897678332105e-06
V199,2.2389897678332105e-06
C8_group_1,2.2389897678332105e-06
C4_group_2,2.2389897678332105e-06
ProductCD_nunique2,2.2389897678332105e-06
V92,2.2389897678332105e-06
D8,2.2389897678332105e-06
V257,2.2389897678332105e-06
V330,2.2389897678332105e-06
C12_group_4,2.2389897678332105e-06
V285,2.2389897678332105e-06
dayofweek,2.2389897678332105e-06
id_06,2.2389897678332105e-06
V294,2.2389897678332105e-06
id_14,2.2389897678332105e-06
id_20_fe1,2.2389897678332105e-06
D15_shift_1,2.2389897678332105e-06
day_mode,2.2389897678332105e-06
DeviceInfo,2.2389897678332105e-06
dist1_nunique,2.2389897678332105e-06
D3_group_3,2.2389897678332105e-06
C1_group_6,4.4408920985006264e-17
card1,4.4408920985006264e-17
max_day_diff2,4.4408920985006264e-17
C12_div_C2,4.4408920985006264e-17
C10_group_2,4.4408920985006264e-17
