feature,Importance
PCA_27,342377.2893345356
C1_div_C14,207413.4048719406
C13_div_C8,87498.3520887196
C11_div_C13,71165.40958553553
C1_div_C13,62128.8031090498
C1_div_C4,49722.17940676212
C13_div_C2,47936.029886983335
PCA_23,44444.66419672966
C13_div_C4,42215.047888338566
C1,41098.320907115936
C1_div_C6,35852.1164162159
V317,31656.662263154984
C11_div_C14,30978.8425552845
C14_div_C4,30967.92577302456
V294,27948.515219926834
addr1,25595.16531395912
TransactionAmt,23205.06298303604
TransactionAmt_std_mean_full,22543.928235530853
V308,21811.686136722565
TransactionAmt_std_mean2_full,21474.523607969284
PCA_26,20588.581022899598
C1_div_C7,19699.460181236267
D2,19358.7266497612
C1_div_C10,17606.208016633987
P_emaildomain,15307.618576288223
C13_div_C6,15013.654851198196
TransactionAmt_std_mean_month,14395.772781133652
C14_div_C6,14011.603368997574
card6,13618.774339199066
card2,13597.486041903496
TransactionAmt_std_mean2_month,13533.902849555016
V258,12154.488725185394
C13_div_C9,12082.747457504272
V283,11639.73836183548
C2_group_1_full,11251.752213835716
day_mode,11215.233915567398
C1_div_C11,11208.978598952293
dist1,11044.269524335861
day,10922.874678134918
PCA_25,10402.836579084396
C1_group_1_full,10360.685519099236
C11_div_C6,10354.42870259285
C2_div_C5,10097.808600068092
max_day_diff2,10007.312367916107
C2_div_C6,9619.842867046595
M4,9509.513501644135
hour_mode,9441.251759171486
PCA_7,9256.02492761612
C1_div_C9,9038.751605033875
dist2_nunique_full,9004.676048278809
R_emaildomain,8916.586309075356
V318,8904.529563903809
P_emaildomain_fe1,8868.618618369102
C9_group_1_2_full,8845.804833292961
V70,8810.325419425964
P_emaildomain_0,8692.10642504692
PCA_24,8450.903569459915
C6_group_1_full,8442.50588464737
TransactionAmt_std_mean_day,8350.49125802517
C11_div_C9,8312.435318946838
id_02,8268.305684447289
V243,8253.717668771744
C2_group_1_2_full,8215.11747932434
C6_div_C9,8199.982640981674
D8,8104.526584982872
D2_group_1_2_full,8099.189018726349
TransactionAmt_to_mean_full,8062.4234064519405
C11_group_1_full,8045.783672809601
C9_group_1_full,8018.415120840073
day_mode2,7980.51327085495
C11,7950.888520359993
R_emaildomain_count_full,7774.523456811905
D15,7759.094820857048
PCA_6,7716.220756053925
C11_group_1_2_full,7631.546662092209
C6_group_1_2_full,7538.318688035011
hour,7529.764261484146
M5,7504.432119846344
TransactionAmt_std_mean_dayofweek,7487.527497768402
C1_div_C2,7418.774354457855
DeviceInfo,7337.263617038727
PCA_8,7290.5924772024155
hour_mode2,7249.904032945633
TransactionAmt_std_mean2_dayofweek,7243.221887469292
C14_div_C9,7114.3340212106705
PCA_9,7057.631590723991
V313,7027.484904766083
C14_group_1_2_full,6940.667315244675
TransactionAmt_to_std_full,6876.897508203983
C1_group_1_month,6876.017200708389
V83,6647.780086278915
TransactionAmt_std_mean2_day,6641.780248761177
C10_div_C13,6553.672215402126
C2,6551.618283748627
V45,6548.078614234924
V102,6518.988889217377
TransactionAmt_decimal,6504.072640180588
TransactionAmt_to_std2_full,6463.921080112457
V189,6377.021379709244
TransactionAmt_to_mean_month,6341.371946573257
id_31,6315.015612721443
V62,6293.962462425232
C14_group_1_full,6293.759555697441
C9_group_1_month,6219.411895275116
V281,6214.641301393509
C7_group_1_full,6207.819481134415
C2_div_C9,6194.119260549545
V12,6128.415593624115
ProductCD,6127.776536941528
C1_group_1_2_full,6117.1249345541
C13_div_C14,6111.313402533531
dist2_nunique2_full,6085.206348657608
shift_TransactionAmt_month,6081.134409070015
C11_group_1_month,6054.100612640381
V87,6038.231117010117
TransactionAmt_to_mean2_full,6034.263712406158
C14_group_1_month,5960.063359737396
C11_div_C5,5874.289637565613
id_05,5871.05674469471
card5,5852.035503387451
C6_group_1_2_month,5830.246831655502
R_emaildomain_count2_full,5826.72488284111
card3,5783.295743465424
C2_group_1_month,5760.151578448713
V315,5708.163470029831
TransactionAmt_to_std_month,5679.335746645927
R_emaildomain_0,5664.608503580093
id_01,5641.494565963745
C2_group_1_2_month,5553.666424393654
TransactionAmt_to_mean2_month,5513.826462507248
D2_group_1_full,5504.509963750839
TransactionAmt_to_mean_dayofweek,5457.789402127266
C1_group_1_2_month,5403.646857380867
D2_group_2_month,5392.632681846619
C6_group_1_month,5383.494188904762
D3_group_1_2_full,5342.186554908752
PCA_20,5327.791860342026
std_TrasactionAmt_month,5237.269164174795
shift_TransactionAmt2_month,5163.078284084797
C11_div_C2,5135.485475182533
TransactionAmt_to_mean2_day,5132.796180486679
D1,5063.642935991287
id_20,5026.373290061951
R_emaildomain_count_month,5014.05903339386
C11_group_1_2_month,5007.875848531723
C5_div_C6,5006.519366264343
C2_div_C8,4949.5820944309235
TransactionAmt_to_mean_day,4938.996026933193
M6,4925.898367166519
shift_TransactionAmt_dayofweek,4911.0871967077255
n_unique_TransactionAmt_full,4901.558298587799
C7_group_1_2_full,4881.880902528763
D2_group_1_2_month,4855.8372666835785
shift_TransactionAmt2_day,4855.162889480591
P_emaildomain_count_full,4839.323087215424
C9_group_1_2_month,4838.3406846523285
V280,4835.171376943588
PCA_3,4824.394321680069
V312,4824.309118270874
C13_div_C5,4791.906943559647
shift_TransactionAmt_day,4781.9281640052795
addr1_nunique2_full,4746.206741094589
C13_group_1_full,4711.51485979557
C9_group_3_full,4700.893983125687
V187,4694.277572393417
TransactionAmt_to_mean2_dayofweek,4650.775964260101
diff_TransactionAmt_day,4644.511227011681
id_09,4610.908585548401
V67,4588.370332956314
V69,4586.064035654068
TransactionAmt_to_std_dayofweek,4570.190426230431
D15_group_1_full,4556.449320316315
std_TrasactionAmt_dayofweek,4551.290064334869
C12_group_1_2_full,4547.491103768349
PCA_2,4530.860637784004
D2_group_1_dayofweek,4526.109643697739
addr1_nunique_full,4522.864220380783
V143,4507.193061828613
V82,4500.911721229553
D2_group_2_2_month,4486.5608286857605
V257,4477.046204328537
std_TrasactionAmt2_month,4474.597306251526
D10_group_1_full,4465.851070642471
C12_div_C13,4456.480999946594
D4,4446.895514249802
D10,4441.11685526371
std_TrasactionAmt2_day,4432.325814127922
PCA_18,4406.278054714203
C1_div_C5,4393.628568172455
addr1_nunique_month,4369.932427406311
TransactionAmt_to_std2_month,4362.252800226212
C14_group_1_2_month,4358.755174636841
C13_group_1_2_month,4351.671496629715
id_33,4295.353311061859
C14_div_C2,4291.659014463425
C9_group_1_dayofweek,4257.442346096039
D2_group_1_month,4257.152463316917
V30,4254.152596950531
PCA_22,4237.502512454987
std_TrasactionAmt_day,4234.884311437607
device_name_nunique_full,4225.886852025986
diff_TransactionAmt2_day,4199.915405750275
C4_group_1_2_month,4196.883662700653
C13_group_1_day,4190.9900361299515
C6_group_1_2_day,4158.810591220856
D3,4146.553112626076
diff_TransactionAmt_month,4129.555635690689
TransactionAmt_to_std2_day,4106.318745940924
TransactionAmt_to_std_day,4100.063017845154
max_day_diff,4094.119621038437
D2_group_1_2_dayofweek,4091.590195417404
id_06,4087.4090671539307
std_TrasactionAmt2_dayofweek,4083.667500138283
C13_group_1_month,4060.361064195633
dist2_nunique_month,4046.625334560871
std_TrasactionAmt_full,4039.832503557205
D2_group_2_day,4036.022630214691
P_emaildomain_0_fe1,3983.9663026332855
V149,3982.5502265691757
C1_group_2_month,3980.3548337221146
diff_TransactionAmt2_dayofweek,3960.661785840988
V53,3940.996410369873
C10,3930.6988331079483
C4_group_1_month,3926.886451035738
V165,3912.9788370132446
diff_TransactionAmt_dayofweek,3903.7789313793182
addr1_nunique2_month,3899.0277996063232
ProductCD_fe1,3894.9341583251953
dayofweek_mode2,3885.6111826896667
D1_group_1_full,3878.501181125641
C1_group_3_month,3872.0436687469482
C13_group_2_month,3856.778071165085
C6_group_1_2_dayofweek,3852.938506126404
