feature,Importance
PCA_27,357286.56610559055
C13_div_C2,133802.42195831446
C1_div_C10,108821.92360856532
C1_div_C13,86346.99211283204
C1_div_C14,81697.28366603718
C14_div_C2,65022.89672699281
C1,60518.989243994016
PCA_23,38846.46349781185
V294,36622.42173930243
V317,35946.75497673896
C14_div_C6,27970.334549826584
C11_div_C13,27918.65193949337
TransactionAmt,25936.680978766675
V308,25799.784472583793
addr1,24349.08802526937
C1_div_C4,23987.049037316883
C1_div_C6,23407.150422229148
C13_div_C6,20761.731293156656
V258,20071.093494444394
TransactionAmt_std_mean_full,18830.208103099347
V257,16881.90540619148
card2,15793.789553545068
C13_div_C8,15301.914004637089
P_emaildomain,15025.963031876283
PCA_7,14860.455426096916
V283,14684.936019420624
M4,14260.59919474111
C14,14186.17562174797
C11_div_C14,13341.977344096695
TransactionAmt_std_mean2_full,13277.955901269961
PCA_6,12604.692187178764
PCA_26,12497.449162228768
PCA_25,12284.086666742409
card6,12257.0827756332
C2_group_1_full,11726.817520936485
V281,11638.684725893661
hour_mode,11299.476027319208
C1_group_1_full,11282.263645091152
PCA_24,11175.165071639924
day,10889.149741005016
day_mode,10846.158534553833
TransactionAmt_std_mean_month,10656.573608458042
C13_div_C9,10612.276496967097
max_day_diff2,10536.2457783008
V70,10516.734543916911
TransactionAmt_to_std_full,10442.853275925003
C6_group_1_full,10208.72174406674
M5,10032.994267844246
V242,10013.953573983163
C11,9838.066491076475
C11_div_C6,9820.644585527763
R_emaildomain,9809.405556816324
C14_div_C8,9793.159383815306
P_emaildomain_0,9771.09009322524
V315,9763.622400499415
C1_div_C8,9624.82912939787
V200,9576.810792019533
dist2_nunique_full,9372.882919775438
C11_group_1_full,9372.055867597133
PCA_8,9341.955812442267
C9_group_1_full,9201.126014952451
C1_div_C11,9151.621040503494
V312,9080.28984428112
C1_div_C2,9001.157140381634
P_emaildomain_fe1,8897.352735195273
TransactionAmt_std_mean2_month,8892.654861121438
R_emaildomain_count_full,8834.940746433218
V313,8680.16361177506
C6_div_C9,8572.271803200245
C1_group_1_2_full,8516.9581040571
D15,8434.738026158899
PCA_9,8363.26718853321
V189,8281.524411053513
day_mode2,8157.403507232666
C9_group_1_2_full,8004.095171689987
TransactionAmt_to_mean_full,7957.470398251149
C12_div_C2,7882.641811376379
V156,7806.401865422726
dist1,7771.299968685373
R_emaildomain_count2_full,7733.201160568744
hour,7532.597098668572
V243,7500.543758286392
TransactionAmt_to_mean_month,7463.263067637238
C2_group_1_2_full,7460.184114262462
R_emaildomain_0,7418.766030788422
ProductCD,7336.623474597931
D8,7334.956863358895
