feature,importance
TransactionAmt,3.0
card1,2.2044881347831864
C13,2.0705673370524686
N1,1.8812248341467486
C1,1.691781971890336
card2,1.6640593767267204
addr1,1.5018761440025523
N3,1.417282930221516
D15,1.3847502296877838
C14,1.3058137299311854
Transaction_hour,1.2816739610826768
C11,1.1050265535110142
card1_fe1,1.0770992526954966
addr1_fe1,1.0744328842688122
N2,1.0503193063436738
D1,1.0477431897185263
card2_fe1,1.0427742015840769
group_2_n_64,1.0130068449613034
C6,1.0095039572709619
dist1,1.000968908367032
D2,0.9910164372554442
D4,0.9661475315457349
Transaction_day_of_week,0.9541110694105039
addr1_fe2,0.9137656132704117
C2,0.8826802457092469
D10,0.8264411609105081
V258,0.8219736712657733
N4,0.8050903174760458
group_2_n_32,0.7943878145452077
card2_fe2,0.7771573794867632
P_emaildomain,0.7478159219363665
V307,0.7444413069751062
id_02,0.7113342700751977
card5,0.7093835204741259
card1_fe2,0.7084493474489569
DeviceInfo,0.641034789056987
P_emaildomain_0,0.6377525192898761
V45,0.6182060065314074
V310,0.6140836234277527
C12,0.5918353817472606
P_emaildomain_fe2,0.5726540149624495
D11,0.5668635385111228
M5,0.5514361842533219
D3,0.5496007599709504
V317,0.5424599044683809
M6,0.5365262249495842
C9,0.5282830612331869
D8,0.5223193637698529
V308,0.517161291565573
V201,0.514284612148069
group_2_n_16,0.5011819167228578
card6,0.4844360046194369
id_19,0.4811552068673809
P_emaildomain_0_fe1,0.4794935485120866
card5_fe1,0.47733790140520704
V313,0.46940538800393106
id_31,0.4652118665779268
P_emaildomain_0_fe2,0.46347482343567603
V257,0.4606002151034889
C4,0.45636814001824744
D5,0.4553170299727415
C7,0.44578890178653235
V200,0.4435871636215473
V283,0.4411046007350812
M6_fe2,0.43328070307200894
C8,0.43122913352954995
id_20,0.4307011953656216
card5_fe2,0.4285871966704715
P_emaildomain_fe1,0.41090666531396747
C10,0.40229653576890834
V87,0.40184700575224325
V281,0.3975880355250311
V243,0.3916414527456494
V312,0.38919017584935983
V294,0.3884397813625885
V189,0.38619047686107977
V246,0.3833856465290046
M4,0.3815677183065002
M5_fe1,0.3808326619535152
V187,0.38074028863817705
V315,0.37616464888512646
V314,0.3744529962155529
V244,0.37005663837060715
V44,0.3642651008166772
V127,0.36360038401286315
card6_fe1,0.34688822300333966
id_01,0.33541089871821284
id_13,0.3296317224744399
group_1_n_64,0.3269083436253677
V54,0.3260350164120851
V53,0.3255099196837405
V62,0.3212344937625462
R_emaildomain,0.31991028691985923
V242,0.31758508296789895
V83,0.31618430615970905
V130,0.31171651150509794
id_05,0.30625383035527887
id_06,0.3061859425121921
M5_fe2,0.30482532740832435
card4,0.30373141713128726
card6_fe2,0.3023321469085698
R_emaildomain_0,0.3000666888653605
V285,0.2966427009529114
group_2_n_8,0.29193136275777504
M6_fe1,0.2856230715892203
V76,0.28387079440728313
V282,0.2815045409052307
V133,0.28096431447171166
dist2,0.27902705392552973
C5,0.27476538434323916
R_emaildomain_0_fe2,0.27217266690470077
V259,0.27105025470088623
card4_fe1,0.27038047497923073
V280,0.26595784676630524
id_19_fe1,0.2658643726231354
group_1_n_32,0.2606930384323913
V306,0.25605403547146477
id_33,0.25580177983095465
M4_fe2,0.2550625350280579
V13,0.2549829058812152
V82,0.25491724314655256
V188,0.2533832198834409
V199,0.24919489581984552
id_20_fe1,0.24807363601382498
M4_fe1,0.2466368280727282
id_31_fe1,0.2456003356991509
V318,0.24247003680159396
V86,0.24073404034195947
V320,0.2390121308293362
V20,0.23439426973899807
V316,0.23159512618923164
card3,0.230171855671378
V186,0.22935873880073088
V75,0.2280781595658639
V128,0.22757597349663322
proc_id_31_0,0.2274620122932616
id_31_fe2,0.22653249879215964
V149,0.22414804506065047
V190,0.21886982393520457
card4_fe2,0.212380479502221
D9,0.21221337054254275
R_emaildomain_fe1,0.21126111567813322
V12,0.21054868989128245
V245,0.2088731465873225
R_emaildomain_fe2,0.20881440057864886
V19,0.20842263405970313
id_20_fe2,0.20486153547125246
V61,0.2039957393818892
id_19_fe2,0.20184614196849637
V131,0.1999132345568838
V78,0.1906939227569091
V291,0.18854357380838688
V67,0.18801732024321335
V309,0.1812700415714312
M3,0.18081880763992353
M8_fe1,0.17801663346134644
V274,0.17695602197137753
V38,0.1744899509842572
V156,0.17315081206191715
DeviceInfo_fe1,0.17260531904266724
V102,0.17173705563408087
id_30,0.17027449834123015
proc_id_31_0_fe1,0.169200203963963
P_emaildomain_1,0.16915096451409262
